count,average size,%area,date,temp,nutrient,ABILITY to form films,evoplas,assay
5641,0.004,66.578,06/08/2015,22,n-,2.598774347,evo,22
3610,0.005,47.528,06/08/2015,22,n+,1.855185604,evo,22
3565,0.004,45.482,06/08/2015,22,n+,1.775323002,evo,22
2293,0.011,73.157,06/08/2015,22,n+,2.85557594,evo,22
806,0.04,91.98,06/08/2015,22,n-,3.590304071,evo,22
1138,0.027,87.614,06/08/2015,22,n-,3.41988368,evo,22
1074,0.029,87.655,06/08/2015,22,n-,3.421484055,evo,22
3588,0.004,46.142,06/08/2015,22,n+,1.801085132,evo,22
1767,0.012,62.312,06/08/2015,22,n+,2.432257309,evo,22
5641,0.004,49.928743,06/08/2015,22,n-,1.948895078,plas,26
3610,0.005,39.01912473,06/08/2015,22,n+,1.523054168,plas,26
3565,0.004,36.92843,06/08/2015,22,n+,1.441446973,plas,26
2293,0.011,38.247,06/08/2015,22,n+,1.492915414,plas,26
806,0.04,45.198748,06/08/2015,22,n-,1.764266677,plas,26
1138,0.027,46.019283,06/08/2015,22,n-,1.796295054,plas,26
1074,0.029,43.10984,06/08/2015,22,n-,1.682729224,plas,26
3588,0.004,36.9837548,06/08/2015,22,n+,1.443606495,plas,26
1767,0.012,35.0675,06/08/2015,22,n+,1.368808306,plas,26
21658,6.86E-04,72.38475,06/08/2015,FS,n-,4.683076342,evo,FS
16735,0.001,77.374654,06/08/2015,FS,n-,5.005908173,evo,FS
17789,7.94E-04,55.827634,06/08/2015,FS,n+,3.611880569,evo,FS
1931,7.94E-04,60.18934782,06/08/2015,FS,n+,3.894070379,evo,FS
1098,3.39E-04,59.29837432,06/08/2015,FS,n+,3.836427064,evo,FS
7427,0.002,89.55,06/08/2015,26,n+,4.393986789,evo,26
6270,0.004,99.37,06/08/2015,26,n-,4.875828779,evo,26
3802,0.004,65.009,06/08/2015,26,n+,2.220889224,evo,26
5513,0.003,78.503947,06/08/2015,26,n-,3.85198555,evo,26
4428,0.003,76.8397454,06/08/2015,26,n+,3.770327483,evo,26
3574,0.006,96.3874564,06/08/2015,26,n-,4.729483082,evo,26
5431,0.004,89.027539,06/08/2015,26,n-,4.368350979,evo,26
2863,0.01,97.8735484,06/08/2015,26,n-,4.802401771,evo,26
9427,0.002,65.89,06/08/2015,26,n+,2.135071029,plas,32
5270,0.004,66.78,06/08/2015,26,n-,2.163910203,plas,32
3802,0.004,48.998788,06/08/2015,26,n+,1.30545352,plas,32
5513,0.003,72.19748,06/08/2015,26,n-,2.339455879,plas,32
4428,0.003,66.3987454,06/08/2015,26,n+,2.151556194,plas,32
3574,0.006,90.2987348,06/08/2015,26,n-,2.926001102,plas,32
5431,0.004,88.3985659,06/08/2015,26,n-,2.864428851,plas,32
2863,0.01,90.90327549,06/08/2015,26,n-,2.945590376,plas,32
21658,6.86E-04,72.38475,06/08/2015,FS,n-,2.683076342,plas,22
16735,0.001,77.374654,06/08/2015,FS,n-,3.005908173,plas,22
17789,7.94E-04,55.827634,06/08/2015,FS,n+,1.611880569,plas,22
1931,7.94E-04,60.18934782,06/08/2015,FS,n+,2.70379,plas,22
1098,3.39E-04,59.29837432,06/08/2015,FS,n+,3.036427064,plas,22
7427,0.002,89.55,06/08/2015,32,n+,3.393986789,evo,32
6270,0.004,99.37,06/08/2015,32,n-,3.28779,evo,32
3802,0.004,45.262,06/08/2015,32,n+,1.0889224,evo,32
5513,0.003,78.503947,06/08/2015,32,n-,3.198555,evo,32
4428,0.003,76.8397454,06/08/2015,32,n+,2.770327483,evo,32
3574,0.006,96.3874564,06/08/2015,32,n-,3.83082,evo,32
5431,0.004,89.027539,06/08/2015,32,n-,3.30979,evo,32
2863,0.01,97.8735484,06/08/2015,32,n-,3.802401771,evo,32
21658,6.86E-04,72.38475,06/08/2015,FS,n-,3.683076342,plas,32
16735,0.001,77.374654,06/08/2015,FS,n-,3.970105908,plas,32
17789,7.94E-04,55.827634,06/08/2015,FS,n+,2.611880569,plas,32
1931,7.94E-04,60.18934782,06/08/2015,FS,n+,1.999407038,plas,32
1098,3.39E-04,59.29837432,06/08/2015,FS,n+,2.6427064,plas,32